Radar Station | produced by | National Film Board of Canada
The End of Agent W4C | runtime | 87 min
The End of Agent W4C | sound format | Mono
The End of Agent W4C | produced by | Filmové Studio Barrandov
Canned Laughter | presented by | Rowan Atkinson
Canned Laughter | type | one off ITV sitcom
Canned Laughter | broadcast date | 8 April 1979
Rowan Atkinson | plays role | Robert Box
Rowan Atkinson | plays role | Mr. Marshall
Rowan Atkinson | plays role | Dave Perry
Rowan Atkinson | plays role | radio announcer
Robert Box | character type | nerdy
Robert Box | early incarnation of | Mr. Bean
Mr. Marshall | character type | sinister boss
Dave Perry | character type | would be stand up comic
Manny Pacquiao vs. Juan Manuel Márquez III | billed as | Fight of the Decade
Manny Pacquiao vs. Juan Manuel Márquez III | billed as | World Boxing Organization's Champion of the Decade
Manny Pacquiao vs. Juan Manuel Márquez III | held at | MGM Grand
Manny Pacquiao vs. Juan Manuel Márquez III | drew | 1.15 million pay-per-view buys
Juan Manuel Márquez | held at | Toyota Center
Juan Manuel Márquez | held on | February 2009
Juan Manuel Márquez | result | Marquez won via ninth-round knockout
Freddie Norwood | 职业 | boxer
Freddie Norwood | 比赛级别 | lightweight
Freddie Norwood | 绰号 | Lil Hagler
Freddie Norwood | 击败 | Antonio Cermeño
Freddie Norwood | 获得 | WBA Featherweight Title
Freddie Norwood | 卫冕次数 | eight times
Freddie Norwood | 输给 | Smoke Gainer
Freddie Norwood | 击败 | Takashi Koshimoto
Freddie Norwood | 击败 | Julio Pablo Chacón
Freddie Norwood | 击败 | Juan Manuel Márquez
Freddie Norwood | 退役 | boxer
Derrick Gainer | nickname | Smoke
Derrick Gainer | nationality | US
Derrick Gainer | occupation | boxer
Derrick Gainer | started in division | featherweight
Derrick Gainer | current division | lightweight
Derrick Gainer | defeated | Freddie Norwood
Derrick Gainer | won title | WBA Featherweight Title
Derrick Gainer | lost to | Juan Manuel Márquez
Juan Manuel Márquez | became | super champion
Derrick Gainer | lost to | Chris John
Derrick Gainer | friend of | Roy Jones Jr
Derrick Gainer | fought on under-cards of | Roy Jones Jr
Rafael Márquez | 职业 | 职业拳击手
Rafael Márquez | 获得称号 | 两次世界冠军
Rafael Márquez | 持有头衔 | IBF雏量级冠军
Rafael Márquez | 持有头衔 | WBC超雏量级冠军
Rafael Márquez | 挑战头衔 | WBC超羽量级冠军
Rafael Márquez | 以...著称 | 强大的击倒能力和无情的压力打法
Rafael Márquez | 兄弟 | Juan Manuel Márquez
Juan Manuel Márquez | 职业 | 职业拳击手
Juan Manuel Márquez | 获得称号 | 多次世界冠军
Floyd Mayweather Jr. vs. Juan Manuel Márquez | vs | Juan Manuel Márquez
Floyd Mayweather Jr. vs. Juan Manuel Márquez | weight class | welterweight
Floyd Mayweather Jr. vs. Juan Manuel Márquez | venue | MGM Grand
Floyd Mayweather Jr. vs. Juan Manuel Márquez | achievement | five-division world champion
Juan Manuel Márquez | achievement | three-division champion
Floyd Mayweather Jr. vs. Juan Manuel Márquez | previous fight | Ricky Hatton
Floyd Mayweather Jr. vs. Juan Manuel Márquez | layoff duration | two-year
Juan Manuel Márquez | vs | Joel Casamayor
Juan Manuel Márquez vs. Joel Casamayor | weight class | lightweight
Juan Manuel Márquez vs. Joel Casamayor | venue | MGM Grand Garden Arena
Juan Manuel Márquez vs. Joel Casamayor | bout duration | 12-round
Joel Casamayor | nickname | El Cepillo
Juan Manuel Márquez | nickname | Dinamita
Joel Casamayor | title | UFC Light Heavyweight Champion
Juan Manuel Márquez | title | former two-division World Champion
Joel Casamayor | recognition | Ring Magazine title holder
Manny Pacquiao vs. Juan Manuel Márquez III | for title | WBO welterweight title
Manny Pacquiao vs. Juan Manuel Márquez III | took place at | MGM Grand
Manny Pacquiao vs. Juan Manuel Márquez III | distributed by | HBO PPV
Juan Manuel Márquez vs. Juan Diaz | for title | WBO/WBA lightweight championship
Juan Manuel Márquez vs. Juan Diaz | for title | The Ring lightweight title
Juan Manuel Márquez vs. Juan Diaz | took place at | Toyota Center
Juan Manuel Márquez | won | Juan Manuel Márquez vs. Juan Diaz
Juan Manuel Márquez vs. Juan Diaz | result | technical knockout in the ninth round
Juan Manuel Márquez | 国籍 | 墨西哥
Juan Manuel Márquez | 成就 | 四个重量级世界冠军
Juan Manuel Márquez | 获得冠军 | WBC超羽量级冠军
Juan Manuel Márquez | 获得冠军 | WBA 轻量级冠军
Juan Manuel Márquez | 获得冠军 | WBO次中量级冠军
Kim Jong-kook | 国籍 | 韩国
Kim Jong-kook | 职业 | 歌手
Kim Jong-kook | 职业 | 演员
Kim Jong-kook | 职业 | 电视艺人
Kim Jong-kook | 所属组合 | Turbo
Kim Jong-kook | 成就 | 三次获得Daesang奖
Kim Jong-kook | 参与节目 | X-man
Kim Jong-kook | 参与节目 | Family Outing
Kim Jong-kook | 参与节目 | Running Man Brothers
Turbo | origin_country | South Korea
Turbo | active_years | 1995 to 2000
Turbo | original_members | Kim Jong-kook
Turbo | original_members | Kim Jung-nam
Kim Jung-nam | left_group | 1997
Turbo | later_member | Mikey
Turbo | achievement | sold millions of albums in Asia
Turbo | comeback | 2015
Turbo | comeback_song | Again
Again | chart_performance | top of music charts
Trot | 属于 | 韩国流行音乐
Trot | 别称 | ppongjjak
Trot | 别称 | yuhaengga
Trot | 别称 | teuroteu
Trot | 形成时期 | 日本统治时期
Trot | 受影响因素 | 日本音乐元素
Trot | 受影响因素 | 西方音乐元素
Trot | 受影响因素 | 韩国音乐元素
Trot | 复兴者 | 张允瀞
Trot | 复兴者 | Super Junior-T
Trot | 复兴者 | Daesung
Trot | 复兴者 | Joy
Trot | 复兴者 | 洪真英
Cho Yong-pil | 国籍 | 韩国
Cho Yong-pil | 职业 | 流行歌手
Cho Yong-pil | 出生年份 | 1950
Cho Yong-pil | 代表作品 | Return to Busan Port
Cho Yong-pil | 代表作品 | Dear Friend
Cho Yong-pil | 代表作品 | The Lady Outside the Window
Cho Yong-pil | 影响力 | 韩国流行音乐最具影响力人物之一
TVXQ | originally debuted as | five-member group
TVXQ | debut date | December 2003
TVXQ | original members | U-Know Yunho
TVXQ | original members | Max Changmin
TVXQ | original members | Hero Jaejoong
TVXQ | original members | Micky Yoochun
TVXQ | original members | Xiah Junsu
TVXQ | headlining debut | Rising Sun Tour
Rising Sun Tour | performances | four sell-out shows in South Korea
Rising Sun Tour | performances | one show in Thailand
Rising Sun Tour | performances | one show in Malaysia
Rising Sun Tour | achievement | first K-pop concert in Malaysia
TVXQ | concert tour | O Tour
O Tour | visited | China
O Tour | visited | Taiwan
O Tour | commenced | January 2007
TVXQ | concert tour | Mirotic Tour
Mirotic Tour | cancelled | remaining concert dates
Hero Jaejoong | entered legal battle | S.M. Entertainment
Micky Yoochun | entered legal battle | S.M. Entertainment
Xiah Junsu | entered legal battle | S.M. Entertainment
Hero Jaejoong | departure | TVXQ
Micky Yoochun | departure | TVXQ
Xiah Junsu | departure | TVXQ
TVXQ | restarted as | duo
TVXQ | current members | Yunho
TVXQ | current members | Changmin
TVXQ | also known as | Tohoshinki
TVXQ | origin | South Korea
TVXQ | debut in Japan | April 2005
TVXQ | second Japanese tour | Five in the Black Tour
Five in the Black Tour | year | 2007
TVXQ | third Japanese tour | T Tour
T Tour | year | 2008
TVXQ | fourth Japanese tour | The Secret Code Tour
The Secret Code Tour | year | 2009
TVXQ | performed at | Tokyo Dome
TVXQ | achievement | third Korean music act to perform at Tokyo Dome
TVXQ | achievement | first Korean pop group to perform at Tokyo Dome
Running Man Brothers | origin | South Korea
Running Man Brothers | formed in | 2014
Running Man Brothers | member | Kim Jong-kook
Running Man Brothers | member | Haha
Running Man Brothers | is a | South Korean variety show
Running Man Brothers | part of | SBS's "Good Sunday" lineup
Running Man Brothers | classified as | game-variety show
Philip Yakel | built | Union Brewery
George Yakel | built | Yakel House
George Yakel | ran | Union Brewery
Yakel House | features | vernacular design influenced by German architectural tradition
William Netzhammer | purchased | Union Brewery
Netzhammer family | ran | Union Brewery
Union Brewery | closed in | 1954
Union Brewery | continued production during | Prohibition
John Hair and Son | acquired by | Offiler's of Derby
Vaux Breweries | listed on | London Stock Exchange
Chef & Brewer | is a | chain of pub restaurants
Chef & Brewer | has number of locations | around 127
Chef & Brewer | located in | United Kingdom
Chef & Brewer | owned by | Spirit Pub Company
Spirit Pub Company | is subsidiary of | Greene King
Chef & Brewer | provides | up market pub food
Chef & Brewer | has feature | re-furbished locations
Agnes Bugge | 职业 | brewers
Agnes Bugge | 活跃时期 | 15th/16th century
Agnes Bugge | 经营 | brewers
Agnes Bugge | 配偶 | Stephen
Stephen | 职业 | draper
Stephen | 支付 | largest contribution
brewers | 与...争议 | City of London
brewers | 创建 | fighting fund
Idonea Hatton | 配偶 | husband
Idonea Hatton | 共同经营 | brewers
Stephen | 遗赠 | brewery to Agnes
fighting fund | 赢得诉讼 | City of London
Dick Whittington | 职位 | Lord Mayor of London
Ruddles Brewery | also known as | G. Ruddle & Co
Ruddles Brewery | is a | English brewery
Greene King | owns | Ruddles brand
Greene King | brews | Ruddles beers
The Booth Brewing Co | is a | microbrewery
Sunghoo Yang | is a | former investment analyst
Heeyoon Kim | is a | former Korean medicine doctor
Daniel Tudor | is a | journalist for The Economist
The Booth Brewing Co | founded in | 2015
The Booth Brewing Co | operated | pizza pub
The Booth Brewing Co | known for | Taedonggang Pale Ale
Taedonggang Pale Ale | is a | collaboration beer with Mikkeller
Mikkeller | is a | Danish microbrewery
Castle Rock Brewery | located in | Nottinghamshire
Castle Rock Brewery | originally set up as | joint venture with Bramcote Brewery
Castle Rock Brewery | owned by | Tynemill
Castle Rock Brewery | owned by | previous owners of Bramcote Brewery
Castle Rock Brewery | located next to | The Vat and Fiddle
The Vat and Fiddle | located on | Queensbridge road
The Vat and Fiddle | close to | Nottingham railway station
The Vat and Fiddle | serves | over 10 real ales
The Vat and Fiddle | serves | Castle Rock's ales
Mill Street Brewery | located in | Toronto
Mill Street Brewery | located in | Canada
Mill Street Brewery | part of | Anheuser–Busch InBev
Mill Street Brewery | won | Golden Tap Awards for Best Toronto Microbrewery
Mill Street Brewery | named | Canadian Brewery of the Year
Mill Street Brewery | purchased by | Labatt Brewing Company
Labatt Brewing Company | owned by | Anheuser–Busch InBev
Greene King | listed on | London Stock Exchange
Greene King | is constituent of | FTSE 250 Index
Lisa Goes Gaga | originally aired on | Fox network
Lisa Goes Gaga | features | Lady Gaga
Lisa Goes Gaga | plot involves | Springfield residents in depression
Lisa Goes Gaga | main character | Lisa Simpson
Lady Gaga | teaches | Lisa Simpson the meaning of happiness
Mike B. Anderson | nationality | American
Mike B. Anderson | profession | television presenter
Mike B. Anderson | works on | The Simpsons
Mike B. Anderson | animated in | The Secret War of Lisa Simpson
Mike B. Anderson | directed | Alone in the T-Shirt Zone
Mike B. Anderson | directed | Kamillions
Mike B. Anderson | worked in | animation
Mike B. Anderson | was | consulting producer
Mike B. Anderson | was | story consultant
Yeardley Smith | full name | Martha Maria Yeardley Smith
Yeardley Smith | nationality | French-American
Yeardley Smith | profession | actress
Yeardley Smith | profession | voice actress
Yeardley Smith | profession | writer
Yeardley Smith | profession | author
Yeardley Smith | profession | comedian
Yeardley Smith | profession | painter
Yeardley Smith | known for | Lisa Simpson
Yeardley Smith | works on | The Simpsons
All About Lisa | is episode of | The Simpsons
All About Lisa | written by | John Frink
All About Lisa | directed by | Steven Dean Moore
All About Lisa | features narration by | Sideshow Mel
All About Lisa | guest stars | Drew Carey
Lisa Simpson | becomes assistant of | Krusty the Clown
Lisa Simpson | wins award | Entertainer of the Year
Homer | bonds with | Bart
Homer | has hobby | coin collecting
Bart | has hobby | coin collecting
The Itchy & Scratchy Show | is part of | The Simpsons
The Itchy & Scratchy Show | features | Itchy
The Itchy & Scratchy Show | features | Scratchy
Itchy | voiced by | Dan Castellaneta
Scratchy | voiced by | Harry Shearer
The Itchy & Scratchy Show | first appeared in | The Tracey Ullman Show
The Itchy & Scratchy Show | first appeared in The Simpsons | There's No Disgrace Like Home
The Itchy & Scratchy Show | produced by | Roger Meyers Jr
Roger Meyers Jr | voiced by | Alex Rocco
Roger Meyers Jr | voiced by | Hank Azaria
The Itchy & Scratchy Show | watched by | Bart Simpson
The Itchy & Scratchy Show | watched by | Lisa Simpson
The Itchy & Scratchy Show | contains | gratuitous violence
Matt Groening | full name | Matthew Abraham Groening
Matt Groening | nationality | American
Matt Groening | profession | cartoonist
Matt Groening | profession | writer
Matt Groening | profession | producer
Matt Groening | profession | animation
Matt Groening | profession | voice actress
Matt Groening | created | Life in Hell
Life in Hell | type | comic strip
Life in Hell | run time | 1977–2012
Matt Groening | created | The Simpsons
The Simpsons | type | television series
The Simpsons | run time | 1989–present
The Simpsons | record | longest-running U.S. primetime-television series
The Simpsons | record | longest-running sitcom
Matt Groening | created | Futurama
Futurama | type | television series
Matt Groening | created | Disenchantment
Disenchantment | status | upcoming
Disenchantment | release year | 2018
Ralph Wiggum | is character in | The Simpsons
Ralph Wiggum | voiced by | Nancy Cartwright
Ralph Wiggum | is son of | Police Chief Wiggum
Ralph Wiggum | is classmate of | Lisa Simpson
Ralph Wiggum | is known as | resident oddball
Ralph Wiggum | noted for | non sequiturs
Ralph Wiggum | noted for | erratic behavior
Ralph Wiggum | has behavior | blissfully unaware
Ralph Wiggum | has behavior | dim-witted
Ralph Wiggum | has behavior | awkwardly spontaneous
Ralph Wiggum | has behavior | occasionally straightforward
Lisa's Rival | is episode of | The Simpsons
Lisa's Rival | written by | Mike Scully
Lisa's Rival | directed by | Mark Kirkland
Winona Ryder | guest stars in | Lisa's Rival
Allison Taylor | is character in | Lisa's Rival
Allison Taylor | attends | Springfield Elementary School
Lisa Simpson | feels threatened by | Allison Taylor
Allison Taylor | is smarter than | Lisa Simpson
Allison Taylor | is younger than | Lisa Simpson
Allison Taylor | is better saxophone player than | Lisa Simpson
Homer Simpson | steals | large pile of sugar
Homer Simpson | sells | sugar door-to-door
Lisa Simpson | 属于 | Simpson family
Lisa Simpson | 配音演员 | Yeardley Smith
Lisa Simpson | 创作者 | Matt Groening
Lisa Simpson | 命名来源 | Lisa Groening
Lisa Simpson | 所属系列 | The Simpsons
Lisa Simpson | 首次亮相节目 | The Tracey Ullman Show
The Secret War of Lisa Simpson | is episode of | The Simpsons
The Secret War of Lisa Simpson | broadcast network | Fox
Bart | sent to | military academy
Lisa | visits | military academy
Lisa | decides to attend | military academy
Mike B. Anderson | directed | The Secret War of Lisa Simpson
Richard Appel | wrote | The Secret War of Lisa Simpson
Willem Dafoe | guest starred in | The Secret War of Lisa Simpson
Willem Dafoe | plays | commandant
Jordan Aviation | operates | worldwide charter flights
Jordan Aviation | provides | wet lease services
Jordan Aviation | is provider of | air transportation for UN peacekeeping forces
Jordan Aviation | has main base | Queen Alia International Airport
Queen Alia International Airport | located in | Amman
Jordan Aviation | operates | Wide Body and Narrow Body aircraft
Jordan Aviation | has | MRO
Jordan Aviation | is member of | IATA
Jordan Aviation | is certificated by | IOSA
Jordan Aviation | is member of | Arab Air Carriers Organization
Jordan Aviation | is member of | International Air Carrier Association
Jordan Aviation | is member of | Flight Safety Foundation
Enimex | operated | cargo and passenger charter flights
Enimex | operated | wet lease operations
Enimex | had main base | Lennart Meri Tallinn Airport
Charles de Gaulle Airport | also known as | Roissy Airport
Charles de Gaulle Airport | IATA code | CDG
Charles de Gaulle Airport | ICAO code | LFPG
Charles de Gaulle Airport | is located in | France
Charles de Gaulle Airport | is named after | Charles de Gaulle
Charles de Gaulle | was | leader of the Free French Forces
Charles de Gaulle | was | founder of the French Fifth Republic
Charles de Gaulle | was | President of France
Charles de Gaulle Airport | is located near | Paris
Charles de Gaulle Airport | is hub for | France
Charles de Gaulle Airport | is hub for | Delta Air Lines
Charles de Gaulle Airport | is focus city for | Vueling
Charles de Gaulle Airport | is focus city for | Norwegian Air Shuttle
Eagle Aviation France | is based in | Saint-Nazaire
Eagle Aviation France | has operations in | Charles de Gaulle Airport
Vildanden AS | 别名 | The Wild Duck
Vildanden AS | 类型 | 虚拟航空公司
Vildanden AS | 运营开始时间 | 2005
Vildanden AS | 服务城市 | Bergen
Vildanden AS | 服务城市 | Trondheim
Vildanden AS | 服务城市 | Stavanger
Vildanden AS | 使用机型 | Jetstream 32
Vildanden AS | 使用机型 | ATR 42
Vildanden AS | 湿租来源 | Danish Air Transport
Vildanden AS | 湿租来源 | Helitrans
Vildanden AS | 曾服务城市 | Stockholm
Vildanden AS | 曾服务城市 | Molde
Vildanden AS | 曾使用机型 | Saab 340
Vildanden AS | 运营合作方 | Coast Air
Vildanden AS | 运营合作方 | Air Aurora
Vildanden AS | 运营合作方 | Avitrans
Vildanden AS | 存在冲突 | Coast Air
Vildanden AS | 获得救助 | Mazatlán Municipality
Vildanden AS | 首次盈利时间 | 2009
Vildanden AS | 停止运营时间 | January 2011
Vildanden AS | 申请破产时间 | January 2011
Phuket Air | 全称 | Phuket Airlines Co. Ltd
Phuket Air | 总部所在地 | Bangkok
Phuket Air | 总部所在地 | Thailand
Phuket Air | 主要业务 | 租赁飞机
Phuket Air | 拥有飞机型号 | Boeing 737
Phuket Air | 提供租赁类型 | ACMI租赁
Phuket Air | 提供租赁类型 | 湿租
Phuket Air | 提供其他服务 | 国际包机服务
Phuket Air | 提供其他服务 | 临时湿租服务
Phuket Air | 提供其他服务 | 宗教朝圣包机
Phuket Air | 提供其他服务 | 干租服务
Phuket Air | 曾提供 | 定期国内航班服务
Phuket Air | 主要基地 | Suvarnabhumi Airport
Phuket Air | 枢纽机场 | Phuket International Airport
Phuket Air | 曾为 | 国际定期航空公司
Phuket Air | 现专注于 | ACMI/湿租市场
Titan Airways | located in | London Stansted Airport
Titan Airways | founded in | 1988
Titan Airways | specialises in | ACMI and wet lease operations
Titan Airways | holds | United Kingdom Civil Aviation Authority Type A Operating Licence
Titan Airways | operates | fleet of 10 aircraft
Cargo 360 | located in | Seattle-Tacoma International Airport
Cargo 360 | specialised in | ACMI and wet lease operations
VIM Airlines | headquartered in | Moscow
VIM Airlines | based at | Domodedovo International Airport
VIM Airlines | offers | international scheduled and charter operations
VIM Airlines | offers | wet lease services
Bishop International Airport | IATA code | FNT
Bishop International Airport | ICAO code | KFNT
Bishop International Airport | FAA LID | FNT
Bishop International Airport | named after | Arthur Giles Bishop
Arthur Giles Bishop | occupation | banker
Arthur Giles Bishop | position | General Motors board member
Arthur Giles Bishop | donated land | 220 acres
Bishop International Airport | rank in Michigan | third busiest
Bishop International Airport | surpassed | MBS International Airport
Bishop International Airport | included in | FAA National Plan of Integrated Airport Systems
Bishop International Airport | categorized as | small hub primary commercial service facility
Bishop International Airport | served by | Allegiant Air
Bishop International Airport | served by | Southwest Airlines
Bishop International Airport | served by | Delta Air Lines
Bishop International Airport | served by | Delta Connection
Bishop International Airport | served by | United Express
Bishop International Airport | served by | American Eagle
Bishop International Airport | cargo services by | FedEx Express
Bishop International Airport | cargo services by | FedEx Feeder
Av Flight | handles | general aviation
Av Flight | handles | airline operations
Bishop International Airport | is located in | southwestern Flint
Bishop International Airport | is surrounded by | Flint Township
Bishop International Airport | is surrounded by | Mundy Township
Oasis | genre | Rock Me
Oasis | country | United Kingdom
Oasis | has member | Liam Gallagher
Oasis | has member | Paul Arthurs
Oasis | has member | Paul McGuigan
Oasis | has member | Tony McCarroll
Oasis | has member | Noel Gallagher
Oasis | signed to | Creation Records
Oasis | released | Supersonic
Supersonic | peak chart position | 31 in UK
Oasis | released | Shakermaker
Oasis | released | Live Forever
Live Forever | success in | United States
Oasis | released | Definitely Maybe
Definitely Maybe | chart position | topped UK Albums Chart
Definitely Maybe | certification | 7x platinum by BPI
Oasis | total records sold | 70 million worldwide
Oasis | award | most successful act in UK 1995-2005 by Guinness World Records
Oasis | is a | English rock band
Oasis | formed in | Manchester
Oasis | formed in year | 1991
Oasis | original members | Liam Gallagher
Oasis | original members | Noel Gallagher
Oasis | original members | Paul Arthurs
Oasis | original members | Paul McGuigan
Oasis | original members | Tony McCarroll
Oasis | released album | Definitely Maybe
Definitely Maybe | release year | 1995
Noel Gallagher | wrote | Definitely Maybe
Definitely Maybe | topped chart | topped UK Albums Chart
Oasis | released single | Supersonic
Oasis | released single | Shakermaker
Oasis | released single | Live Forever
Oasis | released single | Cigarettes & Alcohol
Oasis | released single | Whatever
Whatever | reached position | number one on UK Singles Chart
Definitely Maybe | released by | Creation Records
Definitely Maybe | release date | 29 August 1994
Definitely Maybe | features drummer | Tony McCarroll
Noel Gallagher | role in band | guitarist
Alan White | replaced | Tony McCarroll
Alan White | role in band | drummer
Definitely Maybe Tour | performed by | Oasis
Definitely Maybe Tour | supporting album | Definitely Maybe
Definitely Maybe Tour | start date | 6 February 1994
Definitely Maybe Tour | end date | 22 April 1995
Definitely Maybe Tour | featured event | acoustic debut of Don't Look Back in Anger
Definitely Maybe Tour | last concert with | Tony McCarroll
Oasis | origin | Manchester
Oasis | developed from | the Rain
Oasis | later joined by | Noel Gallagher
Noel Gallagher | relation to | Liam Gallagher
Don't Look Back in Anger | performed by | Oasis
Don't Look Back in Anger | release date | 19 February 1996
Don't Look Back in Anger | written by | Noel Gallagher
Noel Gallagher | role in band | main songwriter
Don't Look Back in Anger | chart position | number one on UK Singles Chart
Don't Look Back in Anger | certification | platinum
Don't Look Back in Anger | vocalist | Noel Gallagher
Noel Gallagher | sibling | Liam Gallagher
Alan White | birth date | 26 May 1972
Alan White | occupation | rock drummer
Alan White | nationality | English
Alan White | member of | Oasis
Alan White | tenure | 1995 to 2000
Alan White | member of | Starclub
Alan White | tenure | 1991
Alan White | record | longest serving drummer in Oasis history
Alan White | contributed to | four studio albums
Alan White | contributed to | two compilation albums
Alan White | contributed to | one live album
Noel Gallagher | recommended | Alan White
Paul Weller | recommended | Alan White
Steve White | sibling of | Alan White
Steve White | drummer for | Paul Weller
Alan White | left | Oasis
Alan White | replaced by | Zak Starkey
Zak Starkey | member of | The Who
Zak Starkey | child of | Ringo Starr
Ringo Starr | member of | The Beatles
Oasis | formation year | 1991
Liam Gallagher | role in band | vocals
Paul McGuigan | role in band | bassist
Tony McCarroll | role in band | drummer
Definitely Maybe | sales | over 15 million copies worldwide
Tony McCarroll | fired from | Oasis
Paul McGuigan | left band | September 1995
Scott McLeod | temporarily replaced | Paul McGuigan
Oasis | released album | Be Here Now
Be Here Now | chart position | topped UK Albums Chart
Oasis | is a | britpop band
Oasis | founded by | Liam Gallagher
Oasis | founded by | Paul Arthurs
Oasis | founded by | Paul McGuigan
Oasis | founded by | Tony McCarroll
Liam Gallagher | role | vocals
Paul Arthurs | role | guitarist
Paul McGuigan | role | bass
Tony McCarroll | role | drummer
Noel Gallagher | joined | Oasis
Noel Gallagher | role | guitarist
Noel Gallagher | role | vocals
Noel Gallagher | is brother of | Liam Gallagher
St. John's Regional Medical Center | operated by | Dignity Health
St. John's Regional Medical Center | has sister hospital | St. John's Pleasant Valley Hospital
St. John's Regional Medical Center | founded in | 1912
St. John's Regional Medical Center | provides | 24-hour emergency medical and surgical services
St. John's Regional Medical Center | provides | cancer and oncology care
St. John's Regional Medical Center | provides | cardiovascular care
St. John's Regional Medical Center | provides | diagnostic imaging services
St. John's Regional Medical Center | provides | maternity and women's services
St. John's Regional Medical Center | provides | neonatal intensive care
St. John's Regional Medical Center | provides | rehabilitation services
St. John's Regional Medical Center | provides | weight loss surgery
St. John's Regional Medical Center | part of | largest acute-care health organization in Ventura County
St. John's Regional Medical Center | serves | Ventura County
St. John's Regional Medical Center | serves | Camarillo
St. John's Regional Medical Center | serves | Moorpark
St. John's Regional Medical Center | serves | Oxnard Plain
St. John's Regional Medical Center | serves | Port Hueneme
St. John's Regional Medical Center | serves | Ventura
St. John's Regional Medical Center | serves | Somis
liberal arts | Latin name | artes liberales
liberal arts | purpose | take an active part in civic life
liberal arts | origin | classical antiquity
liberalis | meaning | worthy of a free person
John Warren Kaiser | position | Athletics Director Emeritus
John Warren Kaiser | affiliation | St. John's High School
John Warren Kaiser | profession | baseball player
John Warren Kaiser | profession | college coach
John Warren Kaiser | profession | administrator
John Warren Kaiser | achievement | helped St. John's to the 1949 College World Series
John Warren Kaiser | career | brief minor league career
John Warren Kaiser | position | head coach at St. John's
John Warren Kaiser | achievement | led St. John's Red Storm baseball team to eleven postseason appearances
John Warren Kaiser | achievement | three trips to the College World Series
John Warren Kaiser | position | athletic director at St. John's
John Warren Kaiser | contribution | establishment of the Big East Conference
John Warren Kaiser | award | ABCA Hall of Fame
Big East Conference Baseball Tournament Most Outstanding Player Award | named in honor of | John Warren Kaiser
Jack Kaiser Stadium | named in honor of | John Warren Kaiser
Jack Kaiser Stadium | home field of | St. John's Red Storm baseball team
Aalborghus Gymnasium | located in | Aalborg
Aalborghus Gymnasium | located in | North Jutland
Aalborghus Gymnasium | located in | Denmark
Aalborghus Gymnasium | offers | three-year program
Aalborghus Gymnasium | offers | Higher Preparatory Examination  program
Aalborghus Gymnasium | teaches | Religion
Aalborghus Gymnasium | teaches | musician
Aalborghus Gymnasium | teaches | Spanish
Aalborghus Gymnasium | teaches | Natural Geography
Aalborghus Gymnasium | focuses on | musical and creative side of students
Aalborghus Gymnasium | takes | international perspective on issues
Aalborghus Gymnasium | has | stream of studies
stream of studies | has | two or three focus subjects
St. John's High School | part of | Charleston County School District
St. John's High School | has | 300 students
St. John's High School | has | 30 faculty and staff
St. John's High School | has mascot | The Mighty Islanders
St. John's High School | has school colors | royal blue and maroon
St. John's High School | offers | additional Advanced Placement courses
St. John's High School | offers | dual credit courses
St. John's High School | offers | over 30 hours of college credit
St. John's High School | has career academy | Hospitality and Tourism
St. John's High School | has career academy | Computer Science
St. John's High School | has career academy | Culinary Arts
St. John's High School | competes in | A level baseball
St. John's High School | competes in | A level volleyball
St. John's High School | competes in | A level wrestling
St. John's High School | competes in | A level soccer
St. John's High School | competes in | A level track
St. John's High School | competes in | A level softball
St. John's High School | offers | marching band
St. John's High School | offers | agriculture and green house
St. John's High School | offers | weightlifting
St. John's High School | offers | competitive academic team
St. John's High School | offers | student council
St. John's High School | located in | Belize City
St. John's High School | education focus | academically talented young men
St. John's High School | educational environment | Jesuit environment
St. John's High School | offers | sports and extracurricular activities
St. John's High School | follows curriculum | Caribbean Secondary Education Certificate
TriBond | is a | board game
TriBond | sales | over 3 million copies
TriBond | available in | 14 countries
TriBond | released in | 1990
TriBond | gameplay | determine a common bond between three subjects
TriBond | similar to | Trivial Pursuit
TriBond | similar to | Outburst
TriBond | requires | wide range of knowledge
TriBond | requires | problem solving ability
St. John's High School | has division | three divisions
St. John's High School | has | central academic centres and activities
St. John's High School | offers | liberal arts
St. John's High School | follows | Jesuit tradition
St. John's High School | founded by | Jesuits
When Patty Went to College | author | Jean Webster
When Patty Went to College | publication year | 1903
When Patty Went to College | genre | humorous novel
When Patty Went to College | setting | all-girls college
Patty Wyatt | is protagonist of | When Patty Went to College
Patty Wyatt | personality trait | bright
Patty Wyatt | personality trait | fun loving
Patty Wyatt | personality trait | imperturbable
Patty Wyatt | behavior | does not like to conform
Patty Wyatt | activities | playing pranks
Patty Wyatt | academic approach | creative study methods
Patty Wyatt | character trait | believer in causes
Patty Wyatt | character trait | champion of the weak
Patty Wyatt | helps | Olivia Copeland
Olivia Copeland | status | freshman
Olivia Copeland | emotional state | homesick
Olivia Copeland | academic situation | failing three subjects
St. John's Seminary | grants | graduate degrees
St. John's Seminary | has division | St. John's High School
St. John's High School | status | closed
St. John's Seminary | educates | seminarians
St. John's Seminary | educates | lay persons
seminarians | may receive | undergraduate education at different institution
A4 Holding S.p.A | also known as | Gruppo A4 Holding
A4 Holding S.p.A | formerly known as | Serenissima Group
A4 Holding S.p.A | headquartered in | Verona
A4 Holding S.p.A | located in | Veneto region
A4 Holding S.p.A | owns | Autostrada Brescia Verona Vicenza Padova
